fecha,horas_uso_bicis,horas_dispo_bicis_anclaje,horas_total_serv_bicis,media_dispo_bicis,uso_ab_anual,uso_ab_ocas,total_uso,mes,dia_semana,fin_semana
2015-08-10,3991.13,19894.18,23885.31,995.22,7986,1890,8175,8,1,0
2015-08-11,4364.4,19817.3,24181.7,1007.57,875,1910,8941,8,2,0
2015-08-12,4633.72,19725.32,24359.04,1014.96,9132,2510,9383,8,3,0
2015-08-13,4498.85,19530.97,24029.82,1001.24,8974,2360,921,8,4,0
2015-08-14,4309.22,22770.43,27079.65,1128.32,8165,2310,8396,8,5,0
2015-08-15,4156.77,21431.75,25588.52,1066.19,70,2970,7297,8,6,1
2015-08-16,3921.48,19269.1,23190.58,966.27,677,3360,7106,8,0,1
2015-08-17,4139.1,18910.27,23049.37,960.39,8362,2000,8562,8,1,0
2015-08-18,4130.08,19764.92,23895.0,995.63,8796,2690,9065,8,2,0
2015-08-19,4298.8,20216.48,24515.28,1021.47,891,2270,9137,8,3,0
2015-08-20,4429.1,20311.57,24740.67,1030.86,9408,2940,9702,8,4,0
2015-08-21,4288.75,21897.31,26186.06,1091.09,8737,3060,9043,8,5,0
2015-08-22,4247.52,21262.88,25510.4,1062.93,7668,4750,8143,8,6,1
2015-08-23,4500.27,18054.25,22554.52,939.77,7911,4690,838,8,0,1
2015-08-24,4089.2,19661.07,23750.27,989.59,8635,2230,8858,8,1,0
2015-08-25,4406.8,19250.9,23657.7,985.74,9397,2120,9609,8,2,0
2015-08-26,4727.38,18599.57,23326.95,971.96,10135,1970,10332,8,3,0
2015-08-27,4786.27,18617.77,23404.04,975.17,10421,1890,1061,8,4,0
2015-08-28,4808.35,19826.72,24635.07,1026.46,10309,2450,10554,8,5,0
2015-08-29,4902.48,18933.37,23835.85,993.16,9433,4000,9833,8,6,1
2015-08-30,4264.58,16590.13,20854.71,868.95,8022,3120,8334,8,0,1
2015-08-31,4193.65,17616.37,21810.02,908.75,9601,1420,9743,8,1,0
2015-09-01,4862.37,15893.35,20755.72,864.82,11238,1620,114,9,2,0
2015-09-02,5299.17,15529.33,20828.5,867.85,11942,1580,121,9,3,0
2015-09-03,5577.73,15865.73,21443.46,893.48,12919,1710,1309,9,4,0
2015-09-04,5399.38,17933.35,23332.73,972.2,12253,1770,1243,9,5,0
2015-09-05,5619.78,16950.61,22570.39,940.43,10598,4540,11052,9,6,1
2015-09-06,6045.88,14331.35,20377.23,849.05,10629,5610,1119,9,0,1
2015-09-07,5006.28,16303.12,21309.4,887.89,10586,2260,10812,9,1,0
2015-09-08,5602.02,16734.39,22336.41,930.68,12325,1940,12519,9,2,0
2015-09-09,5851.15,17181.96,23033.11,959.71,12863,1840,13047,9,3,0
2015-09-10,5911.82,18342.1,24253.92,1010.58,13747,1640,13911,9,4,0
2015-09-11,6347.5,20914.7,27262.2,1135.93,13558,2540,13812,9,5,0
2015-09-12,5990.42,18784.65,24775.07,1032.29,11419,5130,11932,9,6,1
2015-09-13,5927.62,15314.63,21242.25,885.09,10394,5490,10943,9,0,1
2015-09-14,5101.38,22461.62,27563.0,1148.46,11076,2060,11282,9,1,0
