cod_estacion,fecha_alta,distrito,barrio,calle,numero,plazas,longitud,latitud
106a,2014-05-23,04  SALAMANCA,04-01 RECOLETOS,"SERRANO, CALLE, DE",32,18,-3.6878868,40.4248642
104,2014-06-23,04  SALAMANCA,04-01 RECOLETOS,"CASTELLANA, PASEO, DE LA",4,21,-3.6895792,40.4267658
92,2014-06-23,04  SALAMANCA,04-01 RECOLETOS,"CLAUDIO COELLO, CALLE, DE",45,24,-3.6864821,40.4262237
91,2014-06-23,04  SALAMANCA,04-02 GOYA,"HERMOSILLA, CALLE, DE",73,24,-3.6788203,40.4261113
89,2014-06-23,04  SALAMANCA,04-02 GOYA,"AYALA, CALLE, DE",102,24,-3.6751716,40.4272628
88,2014-06-23,04  SALAMANCA,04-06 CASTELLANA,"VELAZQUEZ, CALLE, DE",73,24,-3.6837471,40.4312077
87,2014-06-23,04  SALAMANCA,04-01 RECOLETOS,"AYALA, CALLE, DE",44,24,-3.6835631,40.4276717
85,2014-06-23,03  RETIRO,03-05 JERÓNIMOS,"MENENDEZ PELAYO, AVENIDA, DE",frente 9,27,-3.6799299,40.4211415
84,2014-06-23,03  RETIRO,03-02 ADELFAS,"DOCTOR ESQUERDO, CALLE, DEL",191,24,-3.6726923,40.4033695
83,2014-06-23,03  RETIRO,03-06 NIÑO JESÚS,"PIO BAROJA, CALLE, DE",8 B,24,-3.6745339,40.4132589
82,2014-06-23,03  RETIRO,03-03 ESTRELLA,"LIRA, CALLE, DE LA",frente 2,24,-3.669683,40.4084793
81,2014-06-23,03  RETIRO,03-05 JERÓNIMOS,"CLAUDIO MOYANO, CALLE, DE",S/N,24,-3.6919663,40.4095758
80b,2014-06-23,02  ARGANZUELA,02-07 ATOCHA,"CIUDAD DE BARCELONA, AVENIDA, DE LA",S/N,27,-3.6907238,40.407626
93,2014-06-23,04  SALAMANCA,04-01 RECOLETOS,"GOYA, CALLE, DE",3,24,-3.6894124,40.4256984
80a,2014-06-23,02  ARGANZUELA,02-07 ATOCHA,"CIUDAD DE BARCELONA, AVENIDA, DE LA",S/N,24,-3.6904816,40.4074122
78,2014-06-23,03  RETIRO,03-02 ADELFAS,"CERRO DE LA PLATA, CALLE, DEL",2,24,-3.6745783,40.4005704
77,2014-06-23,03  RETIRO,03-01 PACÍFICO,"CONDE DE CASAL, PLAZA, DEL",8,22,-3.6707742,40.4063347
76,2014-06-23,03  RETIRO,03-06 NIÑO JESÚS,"MEDITERRANEO, AVENIDA, DEL",19,24,-3.6751544,40.4072851
75,2014-06-23,03  RETIRO,03-05 JERÓNIMOS,"MENENDEZ PELAYO, AVENIDA, DE",S/N,24,-3.6784149,40.4083387
74,2014-06-23,03  RETIRO,03-05 JERÓNIMOS,"MENENDEZ PELAYO, AVENIDA, DE",S/N,24,-3.6765768,40.4117601
72,2014-06-23,03  RETIRO,03-06 NIÑO JESÚS,"DOCTOR ESQUERDO, CALLE, DEL",62,24,-3.669623,40.415721
