anio,mes,fecha,dia_semana,fin_semana,uso_ab_anual_dia,uso_ab_ocas_dia,uso_ab_total_dia,uso_ab_anual_mes,uso_ab_ocas_mes,uso_ab_total_mes
2022,1,2022-01-01,6,1,3061,69,3130,3061,69,3130
2022,1,2022-01-02,0,1,3824,42,3866,6885,111,6996
2022,1,2022-01-03,1,0,5600,20,5620,12485,131,12616
2022,1,2022-01-04,2,0,5054,14,5068,17539,145,17684
2022,1,2022-01-05,3,0,3231,10,3241,20770,155,20925
2022,1,2022-01-06,4,0,3064,8,3072,23834,163,23997
2022,1,2022-01-07,5,0,4678,7,4685,28512,170,28682
2022,1,2022-01-08,6,1,3817,15,3832,32329,185,32514
2022,1,2022-01-09,0,1,3980,31,4011,36309,216,36525
2022,1,2022-01-10,1,0,6038,6,6044,42347,222,42569
2022,1,2022-01-11,2,0,7842,8,7850,50189,230,50419
2022,1,2022-01-12,3,0,7961,13,7974,58150,243,58393
2022,1,2022-01-13,4,0,7948,4,7952,66098,247,66345
2022,1,2022-01-14,5,0,7700,8,7708,73798,255,74053
2022,1,2022-01-15,6,1,5857,22,5879,79655,277,79932
2022,1,2022-01-16,0,1,5023,24,5047,84678,301,84979
2022,1,2022-01-17,1,0,6940,6,6946,91618,307,91925
2022,1,2022-01-18,2,0,7735,8,7743,99353,315,99668
2022,1,2022-01-19,3,0,7797,5,7802,107150,320,107470
2022,1,2022-01-20,4,0,8043,7,8050,115193,327,115520
2022,1,2022-01-21,5,0,7019,11,7030,122212,338,122550
2022,1,2022-01-22,6,1,5901,30,5931,128113,368,128481
2022,1,2022-01-23,0,1,5156,9,5165,133269,377,133646
2022,1,2022-01-24,1,0,7180,6,7186,140449,383,140832
2022,1,2022-01-25,2,0,7997,10,8007,148446,393,148839
2022,1,2022-01-26,3,0,8551,6,8557,156997,399,157396
2022,1,2022-01-27,4,0,8581,7,8588,165578,406,165984
2022,1,2022-01-28,5,0,8181,25,8206,173759,431,174190
2022,1,2022-01-29,6,1,6631,23,6654,180390,454,180844
2022,1,2022-01-30,0,1,5928,17,5945,186318,471,186789
2022,1,2022-01-31,1,0,7987,11,7998,194305,482,194787
2022,2,2022-02-01,2,0,8890,1,8891,8890,1,8891
2022,2,2022-02-02,3,0,9626,10,9636,18516,11,18527
2022,2,2022-02-03,4,0,9447,8,9455,27963,19,27982
2022,2,2022-02-04,5,0,8942,21,8963,36905,40,36945
2022,2,2022-02-05,6,1,7226,46,7272,44131,86,44217
2022,2,2022-02-06,0,1,6210,49,6259,50341,135,50476
2022,2,2022-02-07,1,0,8668,17,8685,59009,152,59161
2022,2,2022-02-08,2,0,9699,21,9720,68708,173,68881
2022,2,2022-02-09,3,0,9888,17,9905,78596,190,78786
2022,2,2022-02-10,4,0,9953,18,9971,88549,208,88757
2022,2,2022-02-11,5,0,9524,18,9542,98073,226,98299
2022,2,2022-02-12,6,1,7615,60,7675,105688,286,105974
2022,2,2022-02-13,0,1,5553,35,5588,111241,321,111562
2022,2,2022-02-14,1,0,8336,20,8356,119577,341,119918
2022,2,2022-02-15,2,0,9624,28,9652,129201,369,129570
2022,2,2022-02-16,3,0,9871,16,9887,139072,385,139457
2022,2,2022-02-17,4,0,10328,11,10339,149400,396,149796
2022,2,2022-02-18,5,0,10028,46,10074,159428,442,159870
2022,2,2022-02-19,6,1,6843,41,6884,166271,483,166754
2022,2,2022-02-20,0,1,6581,45,6626,172852,528,173380
2022,2,2022-02-21,1,0,9332,35,9367,182184,563,182747
2022,2,2022-02-22,2,0,10476,18,10494,192660,581,193241
2022,2,2022-02-23,3,0,10452,21,10473,203112,602,203714
2022,2,2022-02-24,4,0,10215,22,10237,213327,624,213951
2022,2,2022-02-25,5,0,6530,7,6537,219857,631,220488
2022,2,2022-02-26,6,1,5215,13,5228,225072,644,225716
2022,2,2022-02-27,0,1,6011,55,6066,231083,699,231782
2022,2,2022-02-28,1,0,7750,47,7797,238833,746,239579
2022,3,2022-03-01,2,0,10070,37,10107,10070,37,10107
2022,3,2022-03-02,3,0,10379,39,10418,20449,76,20525
2022,3,2022-03-03,4,0,4989,8,4997,25438,84,25522
2022,3,2022-03-04,5,0,8884,37,8921,34322,121,34443
2022,3,2022-03-05,6,1,7260,41,7301,41582,162,41744
2022,3,2022-03-06,0,1,6119,32,6151,47701,194,47895
2022,3,2022-03-07,1,0,5642,13,5655,53343,207,53550
2022,3,2022-03-08,2,0,9957,16,9973,63300,223,63523
2022,3,2022-03-09,3,0,10421,20,10441,73721,243,73964
2022,3,2022-03-10,4,0,10230,19,10249,83951,262,84213
2022,3,2022-03-11,5,0,5849,5,5854,89800,267,90067
2022,3,2022-03-12,6,1,6768,41,6809,96568,308,96876
2022,3,2022-03-13,0,1,5983,50,6033,102551,358,102909
2022,3,2022-03-14,1,0,4167,2,4169,106718,360,107078
2022,3,2022-03-15,2,0,8754,8,8762,115472,368,115840
2022,3,2022-03-16,3,0,9522,21,9543,124994,389,125383
2022,3,2022-03-17,4,0,7657,22,7679,132651,411,133062
2022,3,2022-03-18,5,0,9439,31,9470,142090,442,142532
2022,3,2022-03-19,6,1,6979,70,7049,149069,512,149581
2022,3,2022-03-20,0,1,5991,66,6057,155060,578,155638
2022,3,2022-03-21,1,0,3607,5,3612,158667,583,159250
2022,3,2022-03-22,2,0,7194,9,7203,165861,592,166453
2022,3,2022-03-23,3,0,7665,12,7677,173526,604,174130
2022,3,2022-03-24,4,0,5368,6,5374,178894,610,179504
2022,3,2022-03-25,5,0,6046,15,6061,184940,625,185565
2022,3,2022-03-26,6,1,6165,37,6202,191105,662,191767
2022,3,2022-03-27,0,1,6145,35,6180,197250,697,197947
2022,3,2022-03-28,1,0,9165,21,9186,206415,718,207133
2022,3,2022-03-29,2,0,10036,6,10042,216451,724,217175
2022,3,2022-03-30,3,0,8816,13,8829,225267,737,226004
2022,3,2022-03-31,4,0,9941,24,9965,235208,761,235969
2022,4,2022-04-01,5,0,9415,13,9428,9415,13,9428
2022,4,2022-04-02,6,1,6747,26,6773,16162,39,16201
2022,4,2022-04-03,0,1,6109,46,6155,22271,85,22356
2022,4,2022-04-04,1,0,8284,13,8297,30555,98,30653
2022,4,2022-04-05,2,0,9235,7,9242,39790,105,39895
2022,4,2022-04-06,3,0,10565,13,10578,50355,118,50473
2022,4,2022-04-07,4,0,11132,19,11151,61487,137,61624
2022,4,2022-04-08,5,0,9646,31,9677,71133,168,71301
2022,4,2022-04-09,6,1,6977,61,7038,78110,229,78339
2022,4,2022-04-10,0,1,6650,73,6723,84760,302,85062
2022,4,2022-04-11,1,0,7984,52,8036,92744,354,93098
2022,4,2022-04-12,2,0,6534,23,6557,99278,377,99655
2022,4,2022-04-13,3,0,7385,33,7418,106663,410,107073
2022,4,2022-04-14,4,0,4859,76,4935,111522,486,112008
2022,4,2022-04-15,5,0,4868,61,4929,116390,547,116937
2022,4,2022-04-16,6,1,5419,103,5522,121809,650,122459
2022,4,2022-04-17,0,1,5859,65,5924,127668,715,128383
2022,4,2022-04-18,1,0,9763,63,9826,137431,778,138209
2022,4,2022-04-19,2,0,9078,20,9098,146509,798,147307
2022,4,2022-04-20,3,0,6733,10,6743,153242,808,154050
2022,4,2022-04-21,4,0,11473,19,11492,164715,827,165542
2022,4,2022-04-22,5,0,3374,3,3377,168089,830,168919
2022,4,2022-04-23,6,1,5174,14,5188,173263,844,174107
2022,4,2022-04-24,0,1,8053,70,8123,181316,914,182230
2022,4,2022-04-25,1,0,10855,41,10896,192171,955,193126
2022,4,2022-04-26,2,0,8663,45,8708,200834,1000,201834
2022,4,2022-04-27,3,0,8337,29,8366,209171,1029,210200
2022,4,2022-04-28,4,0,9256,36,9292,218427,1065,219492
2022,4,2022-04-29,5,0,11255,79,11334,229682,1144,230826
2022,4,2022-04-30,6,1,8059,98,8157,237741,1242,238983
2022,5,2022-05-01,0,1,7736,124,7860,7736,124,7860
2022,5,2022-05-02,1,0,5640,65,5705,13376,189,13565
2022,5,2022-05-03,2,0,8427,25,8452,21803,214,22017
2022,5,2022-05-04,3,0,11908,34,11942,33711,248,33959
2022,5,2022-05-05,4,0,13236,54,13290,46947,302,47249
2022,5,2022-05-06,5,0,12544,68,12612,59491,370,59861
2022,5,2022-05-07,6,1,9816,150,9966,69307,520,69827
2022,5,2022-05-08,0,1,9653,127,9780,78960,647,79607
2022,5,2022-05-09,1,0,12088,49,12137,91048,696,91744
2022,5,2022-05-10,2,0,12754,27,12781,103802,723,104525
2022,5,2022-05-11,3,0,13915,3,13918,117717,726,118443
2022,5,2022-05-12,4,0,13661,31,13692,131378,757,132135
2022,5,2022-05-13,5,0,12597,22,12619,143975,779,144754
2022,5,2022-05-14,6,1,9053,45,9098,153028,824,153852
2022,5,2022-05-15,0,1,9127,66,9193,162155,890,163045
2022,5,2022-05-16,1,0,8248,61,8309,170403,951,171354
2022,5,2022-05-17,2,0,12660,16,12676,183063,967,184030
2022,5,2022-05-18,3,0,13878,9,13887,196941,976,197917
2022,5,2022-05-19,4,0,14491,11,14502,211432,987,212419
2022,5,2022-05-20,5,0,13462,19,13481,224894,1006,225900
2022,5,2022-05-21,6,1,9747,27,9774,234641,1033,235674
2022,5,2022-05-22,0,1,9082,61,9143,243723,1094,244817
2022,5,2022-05-23,1,0,12386,14,12400,256109,1108,257217
2022,5,2022-05-24,2,0,12736,21,12757,268845,1129,269974
2022,5,2022-05-25,3,0,13665,11,13676,282510,1140,283650
2022,5,2022-05-26,4,0,13857,38,13895,296367,1178,297545
2022,5,2022-05-27,5,0,13452,82,13534,309819,1260,311079
2022,5,2022-05-28,6,1,10583,129,10712,320402,1389,321791
2022,5,2022-05-29,0,1,10512,92,10604,330914,1481,332395
2022,5,2022-05-30,1,0,11821,39,11860,342735,1520,344255
2022,5,2022-05-31,2,0,14083,41,14124,356818,1561,358379
2022,6,2022-06-01,3,0,14382,36,14418,14382,36,14418
2022,6,2022-06-02,4,0,14557,17,14574,28939,53,28992
